cz_chapter	cz_section	enTitle	cz_pages	cz_page_count	cz_nodes	leh_sections	leh_page_count	depth_ratio	leh_pages_A	leh_pages_B	auto_top	auto_agrees	auto_margin	leh_titles	node_ids	czTitle
9	9.1.1	The three categories of photosynthetic pigment	204-206	3	4	20.1	7	2.3	20.1:701-707	20.1:2498-2519	20.2	False	1.15	20.1 Light Absorption	9-5,9-6,9-7,9-8	Tři kategorie fotosyntetických pigmentů
9	9.1.2	Other components of the thylakoid membranes	206	1	1	20.2	9	9.0	20.2:708-716	20.2:2520-2546	20.2	True	3.47	20.2 Photochemical Reaction Centers	9-9	Další složky thylakoidních membrán
9	9.1.3	The reaction centre, and the legend to Obr. 9.5	206-209	4	5	20.2,20.3	13	3.2	20.2:708-716; 20.3:716-719	20.2:2520-2546; 20.3:2547-2559	20.2	True	3.71	20.2 Photochemical Reaction Centers | 20.3 Evolution of a Universal Mechanism for ATP Synthesis	9-10,9-11,9-12,9-13,9-14	Reakční centrum a legenda k obr. 9.5
9	9.1.4	Photosynthetic CO₂ fixation — why 'dark phase' is a bad term	209-212	4	5	20.4	9	2.2	20.4:719-727	20.4:2560-2583	20.5	False	1.62	20.4 CO[2]-Assimilation Reactions	9-15,9-16,9-17,9-18,9-19	Fotosyntetická fixace CO₂ — proč „temná fáze" je špatný termín
9	9.2	Photorespiration — three enzymes, three compartments	212-213	2	1	20.5	6	3.0	20.5:727-732	20.5:2584-2602	20.5	True	3.89	20.5 Photorespiration and the C[4] and CAM Pathways	9-20	Fotorespirace — tři enzymy, tři kompartmenty
9	9.3	C-4 plants — the Hatch–Slack cycle	212-214	2	2	20.5	6	3.0	20.5:727-732	20.5:2584-2602	20.5	True	2.22	20.5 Photorespiration and the C[4] and CAM Pathways	9-21,9-22	Rostliny C-4 — Hatchův-Slackův cyklus
9	9.4	Fixation of atmospheric nitrogen — nitrogenase	214-216	3	4	22.1	10	3.3	22.1:795-804	22.1:2794-2828	22.1	True	7.58	22.1 Overview of Nitrogen Metabolism	9-23,9-24,9-25,9-26	Fixace atmosférického dusíku — nitrogenasa
9	9.5	Secondary plant metabolites	216-217	2	1	21.4,22.3	27	13.5	21.4:772-789; 22.3:816-824	21.4:2734-2774; 22.3:2863-2883	22.3	True	1.25	21.4 Cholesterol, Steroids, and Isoprenoids: Biosynthesis, Regulation, and Transport | 22.3 Molecules Derived from Amino Acids	9-27	Sekundární rostlinné metabolity
10	10.1	Intermediary metabolism — catabolism, anabolism and the four functions	218-219	2	5	13.2,23.2	18	9.0	13.2:472-478; 23.2:848-858	13.2:1728-1753; 23.2:2967-3005	17.2	False	1.11	13.2 Chemical Logic and Common Biochemical Reactions | 23.2 Tissue-Specific Metabolism	10-1,10-2,10-3,10-4,10-5	Intermediární metabolismus — katabolismus, anabolismus a čtyři funkce
10	10.1.1	Carbohydrate metabolism — degradation	219	1	2	14.1,15.2	18	18.0	14.1:511-521; 15.2:558-564	14.1:1871-1906; 15.2:2036-2055	14.5	False	1.18	14.1 Glycolysis | 15.2 Breakdown and Synthesis of Glycogen	10-6,10-7	Metabolismus sacharidů — odbourávání
10	10.1.2	Lipid metabolism — degradation and ketone bodies	220	1	2	17.2,17.3	15	15.0	17.2:607-618; 17.3:618-620	17.2:2198-2240; 17.3:2241-2249	17.3	True	1.4	17.2 Oxidation of Fatty Acids | 17.3 Ketone Bodies	10-8,10-9	Metabolismus lipidů — odbourávání a ketolátky
10	10.1.3	The relation of carbohydrate and lipid metabolism — why fats cannot make sugars	220	1	1	23.2,16.3	14	14.0	23.2:848-858; 16.3:590-592	23.2:2967-3005; 16.3:2134-2142	20.6	False	1.22	23.2 Tissue-Specific Metabolism | 16.3 The Hub of Intermediary Metabolism	10-10	Vztah metabolismu sacharidů a lipidů — proč z tuků nevzniknou cukry
10	10.1.4	The citrate cycle and respiratory chain — energetics and biosynthesis	220-221	2	1	16.3	3	1.5	16.3:590-592	16.3:2134-2142	16.3	True	1.92	16.3 The Hub of Intermediary Metabolism	10-11	Citrátový cyklus a respirační řetězec — energetika i biosyntéza
10	10.2	Regulatory mechanisms — why, and at what levels	221-222	2	5	13.5,6.5	18	9.0	13.5:497-503; 6.5:213-223	13.5:1821-1837; 6.5:853-886	28.3	False	1.06	13.5 Regulation of Metabolic Pathways | 6.5 Regulatory Enzymes	10-12,10-13,10-14,10-15,10-16	Regulační mechanismy — proč a na jakých úrovních
10	10.3	Hormones — definition, the gland hierarchy, and hormonal receptors	222-228	7	10	23.1,23.3,12.7	17	2.4	23.1:842-848; 23.3:859-867; 12.7:446-446	23.1:2945-2966; 23.3:3006-3029; 12.7:1633-1637	23.1	True	1.63	23.1 Hormone Structure and Action | 23.3 Hormonal Regulation of Fuel Metabolism | 12.7 Regulation of Transcription by Nuclear Hormone Receptors	10-17,10-18,10-19,10-20,10-21,10-22,10-23,10-24,10-25,10-26	Hormony — definice, hierarchie žláz a hormonální receptory
